imgName,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49
41,156.8193345,1042.698064,-2602.90079,-588.0692584,-1933.832902,34.58917289,-151.736011,3457.584722,-946.7892592,-7.960270668,-584.5095476,302.3876313,713.4626412,559.6967062,-118.8779753,1316.508707,363.1343792,-168.448248,322.6267779,1496.718419,536.4248102,964.8920722,312.4987539,-533.8817553,-862.3619958,-5.028562769,364.9076938,-819.2263401,-509.3659946,-1248.154827,-201.3518276,-1152.195233,428.721734,-121.9760201,-0.216626794,739.8343946,1107.177201,1099.142862,377.28364,629.2094924,437.308641,12.12514379,12.59019442,-812.7023097,263.6301588,-1144.911121,-342.8108474,361.0371111,-105.6838114,-15.92825882
65,-1833.786749,82.773413,966.2182484,-1089.482637,-2141.858397,-963.2960339,-567.873188,-1071.263733,697.8463378,-499.5311915,-864.2295045,-29.93471063,1229.081856,1216.954331,-657.026705,248.7601031,-216.2631122,823.9956548,-1032.224224,-837.9018593,322.6457087,-87.31092089,132.4568096,965.0782947,808.9828445,-1124.92032,-478.1671705,-219.9464895,382.5207092,-597.6112272,-289.6652334,331.2926911,-272.6624243,-142.7229682,-658.7515455,147.4480417,444.9578682,-454.1556185,-131.3945303,30.32425183,-83.65416783,45.76183437,22.79416175,590.5237654,769.1289027,-1185.314419,175.6927755,568.5245732,-217.8340873,147.1641764
78,-3656.328122,2519.013855,1395.447279,560.1770802,-1143.888077,-2510.306315,-79.53696844,-716.3929339,904.0056534,924.7916496,606.7582677,-724.8827338,688.6571773,114.4010998,379.9403579,-93.94997388,-175.8585076,-695.5247978,-587.4962601,-302.5703284,-1070.117081,231.6041657,-3.621639541,-261.336595,163.1358428,-94.00054742,1321.223563,1163.297531,1656.05017,289.5052584,669.7118471,-1124.243349,90.43416255,706.7319268,90.12369551,345.593012,-822.6264014,-502.8321921,-377.750471,-116.1229299,358.4058977,-35.01035311,43.45887793,-23.86147504,995.5990679,-354.5826218,-538.6532088,-1114.631663,811.8832701,79.91217889
68,-625.9134194,-2090.311172,994.7520181,1171.397994,-173.844852,-860.3809617,1310.622057,205.9727173,322.1955941,511.9486914,1628.524888,-105.3068989,-1719.00475,-785.5630345,264.8775314,-386.7720388,-736.3364699,852.9005663,779.6046664,642.5528378,-1765.021862,620.2811483,-1299.506315,1033.757609,-122.7468366,321.4582935,-117.0195439,146.1671381,-918.5385949,-593.5537462,885.0469683,926.6867046,86.01048019,-248.1744103,-378.3925358,-750.6445216,832.2030419,247.3194479,273.5285527,199.2740348,373.8743042,-314.1112418,-376.4603151,726.8477857,1465.421503,-336.7586647,-544.7632321,-426.4108782,-191.4747131,232.0282687
80,-2354.979121,2948.576679,-770.2483149,432.0886692,2525.957581,-2323.163888,-1149.705051,1015.378682,602.1772178,-2173.013031,3410.744435,1538.027523,-295.2963513,-719.8457272,-1129.916784,-602.5233853,-436.6689131,-5.974826689,-637.355803,1376.000725,-670.4332277,1009.908908,130.7272316,539.9677395,-198.0760761,-1308.466662,-415.8826797,-420.3743868,728.5154637,286.6364624,-986.7671057,-156.0943061,496.0881381,-483.6955817,209.7108227,373.6381686,-393.116469,-363.4063031,153.8674094,543.2640528,-293.0233979,-353.6753572,88.44714706,-415.3576772,-98.87619334,1012.889968,174.9322909,757.6459987,-289.3127526,567.0912654
69,652.9488459,985.2547824,686.93326,-1009.435229,-159.8317663,-1243.260178,-491.6026854,686.018314,-841.9590676,547.4433428,-33.48043405,-971.7064345,-2099.250908,71.35001688,1171.970403,829.1580468,-1555.465877,-789.0220025,232.7477012,861.2727335,1469.797102,2415.445379,1919.867746,426.5011306,-1677.66104,-744.7354862,-234.5099449,-1332.658488,307.6777282,1605.293888,-236.7700687,1181.122345,1065.233847,1606.560032,114.6407051,1564.126225,561.0579935,876.6236315,1379.827774,-565.038123,93.64594363,-686.3265331,8.878382268,574.2279119,582.467191,-721.0184695,-486.0359786,510.5228804,-42.39176489,519.4695762
90,899.5205354,-1028.784329,3650.605722,5.840635205,1325.356026,287.5117819,-2532.880272,1185.270681,-135.9240626,-911.0360398,-1088.842068,910.7711996,111.8193092,1204.58656,21.72722957,-1065.958908,-280.0252526,-66.06697447,36.64313542,-670.4339906,0.058454468,585.5297325,-97.44579255,305.0283406,129.6304014,-280.2185127,-438.2309276,-21.69737869,-585.9453999,-352.3833101,-11.12121762,318.5213201,195.7259776,168.8809754,-753.5918487,222.0223629,-295.7867536,512.8517762,102.8483773,-140.9226651,-654.5850832,229.8569061,109.7110329,302.4851698,-43.99545783,-15.03639097,883.9719262,-202.1704786,573.003339,336.2458539
109,-1172.061676,143.4678756,1132.791346,1297.01153,-1383.068926,-1342.910946,69.29901844,557.172425,-764.7300696,719.5931683,-298.1869471,430.0451858,-1122.969069,-1101.899641,1251.582077,-880.6228027,-1833.000788,1122.867977,-208.0474121,-440.5695291,-2572.741865,-178.2068937,1255.192447,-78.21412282,-389.7044117,686.2322465,85.10450519,648.7283531,-313.5065176,221.6307469,752.788513,-69.03138764,678.0203533,949.6045393,-54.70405992,673.4129159,167.3972949,-210.8029108,645.4747651,435.1969811,125.4839256,-33.47275355,1145.027151,-900.6070921,258.7705638,-218.285674,-919.5180368,460.1637996,298.4853519,329.3793385
113,5639.83221,2758.129842,-625.7139809,-455.6901147,898.0941652,-1369.676152,141.2069595,-1381.22552,475.8594787,-491.875508,-604.6109235,-190.5705988,-732.9228001,-1331.648544,642.7511252,-472.5325136,-45.72457807,-1143.17638,-49.38804065,-1036.512003,178.4733309,-705.6514215,-1256.332579,479.0350912,1063.350378,-704.1487289,-1887.03643,277.5385896,921.6679443,162.9204236,414.1788465,444.2398571,-291.0632981,148.7221884,576.9398074,577.6794302,-167.4033285,-689.0561837,197.3840823,404.4494904,-676.5086232,-89.49422377,589.007843,54.94274511,19.28458204,-557.7132523,-143.350182,-857.5852828,113.8576388,-44.19610031
119,-1877.161386,-238.7153053,1372.736306,-1032.963877,-1823.022617,-318.3966583,-367.6753989,-601.2525213,1793.530182,-606.6539661,-542.8635139,190.0013554,967.8780787,-319.6580146,-1221.933516,79.44720817,29.14135874,459.395705,-358.5594087,381.3021372,751.4113265,282.0524943,896.2529908,267.8537402,257.5031838,-301.5073308,-468.9984358,9.803280675,575.1124181,478.7728314,-269.9140877,-516.3599762,-1284.595543,-422.5120463,-565.5136503,-883.3914577,250.0992855,18.65239397,289.2236002,-68.15811988,214.612808,-346.281509,337.3215708,288.8423523,61.58968388,-57.03702428,-58.96065368,-171.1262631,572.5190952,-420.1686708
